N,P,K,temperature,humidity,ph,rainfall,label
40,56,62,16.50341577110699,53.56696165452763,7.34287306564138,264.09206058373087,maize
77,94,63,21.548257595951565,57.29890819582718,5.615217393060032,253.3738917368096,barley
30,51,42,21.26118124070083,74.90165927425758,7.298326032430009,318.5452881408577,wheat
59,58,59,24.10318389860743,58.099630706132096,7.339075451349405,280.0544649763291,rice
26,74,53,15.662179564290257,52.78037243465764,8.751278100806589,104.45915615341306,rice
54,80,44,32.10992682704636,89.36919391131687,5.621591873857835,355.48576199260685,wheat
23,38,87,17.199926891174844,74.33462578491734,6.926636758697944,323.13007948245183,rice
91,68,66,30.120310840749994,56.547532324970696,5.26507064296435,126.63125000315992,rice
30,74,88,21.03088078867586,65.0105512648841,5.71064783361218,293.1175476399544,rice
48,70,65,15.828938773731316,74.90724376276214,7.322200798594901,161.6325790038712,maize
34,74,60,15.903329961045472,68.13681919682216,6.17581156145111,116.65529261712813,maize
74,51,26,27.974384337354103,65.56382107901882,8.589794544733333,281.38894951594864,wheat
69,48,34,30.879094808909468,77.69327800575569,8.364476069755316,219.04971349169867,maize
92,29,98,30.70476235170556,58.448967149635116,5.841346562228984,180.72471153697757,maize
32,25,41,30.330037930014704,75.33064255479275,6.323918500345042,202.87530940715519,wheat
71,47,22,31.211282970953068,62.88530303047548,4.767855856233615,319.5209793379841,rice
20,79,91,15.843764606008595,58.45009749229816,8.567997173434632,300.94135043996073,rice
86,88,35,15.622375856408233,81.7299977200828,7.88134889560231,391.2349645262319,wheat
33,52,35,16.361425583475814,79.31579848628134,6.623164475515713,159.9412990400554,barley
20,32,22,34.710849960960026,61.287733481267914,4.300128919689342,195.64637539541505,maize
74,30,25,19.513207260991102,57.10502422802102,6.1518690289122056,185.8037174897246,barley
64,50,51,20.000422871611566,54.802177917938735,7.806626057932218,352.97713799646704,wheat
38,77,29,21.585914142205798,50.4730207312127,8.958725315681871,121.36290485611899,barley
56,25,31,22.569272778660793,71.9519140772562,6.937679005151106,183.79393717572606,wheat
84,94,58,24.865408403626056,85.88893295794932,7.868954582662894,188.13971845587693,barley
29,39,37,34.79987640411892,53.41506582232154,6.8594521658683645,381.04065548882403,rice
62,78,87,28.831440612607622,88.48187951850093,6.922360438704722,194.33221015386624,wheat
36,33,68,25.42776817023904,50.11086847118341,4.92935341548451,160.6897642943598,wheat
92,72,89,23.977868242398944,70.67117403377978,4.292490659643336,320.07278677306823,wheat
40,21,42,20.51242362936445,52.315566679030006,4.589009563120045,308.58555437397956,barley
60,56,98,27.629253634445554,58.54142117221117,8.864249445219995,397.5329162558752,rice
86,23,83,32.80858624453566,82.78180346152921,7.2832193163191405,361.38389357770535,barley
83,36,34,31.375877691104737,89.44486669760616,4.038729323403817,291.02639647569526,wheat
23,59,37,29.44026486200804,82.37513516569682,6.46173596402508,132.16520944887793,barley
28,22,51,23.33339177136589,81.9627240027375,6.782362090590937,358.6395861814882,maize
68,75,93,20.176746126067655,72.40771549039566,7.2999890867928885,260.2746092287765,barley
37,88,86,22.306760243235367,58.17053495315993,6.751268099052422,105.14427535487796,barley
77,45,68,28.008463872503363,50.56932637856982,6.98169514528522,115.52205846026203,rice
72,47,57,30.93026834245215,85.73065402882037,6.798638569870617,373.2047930029369,barley
34,81,56,25.213954015013556,63.83524440236416,4.193965034534054,272.2684102066672,maize
54,74,97,16.922852014543118,83.32579456164214,8.738863933112581,325.54179103259014,rice
95,88,76,29.264480130596308,74.96240337701542,7.340900179041883,141.77403739289645,wheat
23,80,86,20.14915902610743,56.72194484811964,8.86713926131397,258.03474997805586,barley
92,95,64,28.385303471785164,63.41954005098514,4.252340027498266,169.96463935218344,maize
54,25,91,27.050465595855577,88.38672990504048,4.905649897202187,151.74698707947425,maize
74,71,61,33.853635857353524,59.484689912183214,7.180795551698294,266.7459834676765,wheat
99,50,50,27.107616743137264,77.38750648798751,5.731333374612971,220.8174117633028,wheat
45,86,71,32.58288703964775,86.43011035407264,4.989227214691878,376.9376766837038,wheat
66,72,30,27.57731682615298,60.48271130704358,5.128536025567616,336.0156019383233,maize
20,30,77,34.44266191593478,80.84984946424123,5.688999490409191,382.6696256543773,rice
62,58,82,28.680161945680034,53.32784352102618,8.451349755154062,383.06782717382373,rice
76,95,47,28.515564955192808,79.23925176598013,6.611862887590309,199.24812591845492,rice
91,80,65,23.42884139192752,80.36737272286231,8.810311850755221,354.5875198986596,rice
99,98,86,34.3982817617824,71.38132463618578,4.385533658251075,343.96584461434634,rice
79,57,60,16.35577947698021,72.71467985027911,5.2201310969656625,260.29134482522505,barley
34,82,76,19.836057950868465,80.26787557894306,5.327094857942999,226.31791747551114,maize
69,79,58,15.294269095470563,63.78562278648715,4.326982909477066,290.7067229815126,wheat
28,91,94,29.22112653648766,70.37311071323757,4.865880984780018,313.71272957008955,wheat
97,99,33,29.081904544107836,54.84539721680449,7.521204380934462,120.83427959199,barley
30,46,43,31.401562672407696,63.74280164704455,6.674691080255235,379.69875028989406,wheat
24,57,60,27.895120748613557,50.90556173231869,6.3393714538014745,144.272595235485,wheat
66,78,28,19.483240614701177,63.14241806059558,7.49898471016167,335.02919263799276,wheat
55,98,64,15.191368998519508,61.417029829734915,8.025839627195293,149.50783384840705,barley
36,27,41,19.930208225833876,67.63525419152894,6.650381785269353,319.4751847998836,wheat
27,87,58,34.04171884916898,84.27453936690611,8.074078811810985,202.13884401937685,wheat
99,44,87,34.89899015041544,78.50293015584673,6.6733025904030745,186.8902978545508,barley
67,94,89,20.63202815129049,54.097316380078205,4.894946234045674,150.79818162795752,maize
43,93,89,23.991991279685756,76.41150964001224,6.662866840352702,346.76431502269054,maize
63,24,54,19.74950953291952,75.20135258313591,8.389412745114093,376.95896308136054,maize
83,98,68,18.183176419399686,79.42326304367103,6.260973408804539,147.96601217550904,maize
40,43,44,18.40212938070266,70.10321810763932,4.859943241588413,262.32153212507933,rice
84,73,85,20.167129611805773,63.476099642591976,4.808875724670597,175.5970897085998,wheat
22,37,91,26.99885362782693,77.33963679163907,7.123140300619644,337.1558268760342,maize
41,98,67,16.29806773048916,86.30413704124902,8.709739463272147,240.45633594628828,maize
41,64,43,18.271179516792103,54.975605848102475,4.782219929170128,234.99527046766744,rice
37,32,78,30.46765715103947,61.20949792883229,4.0071632634778975,196.5926282401894,rice
87,87,21,26.05173758411474,77.65433096087939,7.544281648463705,331.32559972019465,barley
69,69,94,21.810198246615194,56.7633640545578,4.002295201256858,259.54456325997546,wheat
21,47,26,22.628736207264627,89.69124446812785,4.7463538587524035,260.4347543905291,wheat
77,43,51,29.723820557167798,78.10488448273048,4.6290121004487235,129.61087025048556,maize
81,29,69,26.808948954847814,67.31475942524224,6.091703000650426,377.5107894306201,wheat
50,42,55,34.654364098906186,61.84733841084106,4.83477973300974,340.49625843871377,barley
99,71,88,26.03338324009325,53.370089106664594,8.931180485869788,109.81307450431565,rice
30,71,24,24.712381171964736,52.73147781229617,6.145985515959895,227.88580000815125,barley
95,20,83,26.717467729400845,64.55156367256421,6.421665146119958,277.45105281636484,rice
57,90,67,15.603668123893629,86.91965930774836,4.419441417470869,304.64927019138577,rice
67,20,37,15.163764668549366,54.84177221905348,7.10000747130825,321.7878173383039,rice
70,64,73,33.48634928156421,77.51705478258164,7.385486015104426,305.8414759090181,wheat
90,49,98,19.97260689327495,59.319586187892654,6.7045768509509855,234.71927526027147,rice
93,43,98,31.9640574040435,77.52287342131775,6.0273930551329356,277.7425030668817,maize
29,45,23,33.718737706827454,81.73654367354327,7.958213774311009,127.60297449087587,rice
47,92,28,18.28634038094468,61.205069463127614,8.519259686007118,341.1543999692903,barley
82,32,26,28.315002858717133,76.23156685673798,5.769970090739716,235.02185902099478,rice
84,51,38,33.478793482712064,81.5743026040027,7.371104445374668,196.95348144991073,wheat
27,70,86,34.007275016421374,68.71716457892708,5.0105126545679095,326.11970100623284,barley
76,60,85,18.85772874710937,56.3781732670943,8.351166017330955,315.3754652658468,rice
41,95,80,20.60617816140951,56.23758240724637,5.617443070071811,321.3885233528048,rice
35,73,62,30.533643018346993,53.85539017503823,4.797553508540266,293.3492956199981,wheat
32,74,23,26.028017729424825,88.63560084107723,4.981769731981232,169.9723282016036,rice
66,60,92,17.5791022025729,82.79532882828055,4.67404381743388,279.708422311591,barley
20,89,95,23.138629740368327,65.64600740538182,4.676963755075545,177.7244589603053,maize
38,37,72,34.915783203985384,63.38502432420827,8.943837622573422,193.44617107524,wheat
24,49,35,15.761425106319418,75.4708961978572,6.805630508265991,173.24219063733912,rice
42,20,72,15.86243112687673,69.94759728758436,7.627548267604748,119.93731774095859,rice
87,32,49,15.833367280393862,56.844829909513614,7.760874945529413,301.7709606807448,rice
91,38,46,18.26808530639145,82.17436603867459,4.0593476469690675,140.12373546081125,wheat
